id,name,alias,iata,icao,callsign,country,is_active
1,"Private flight","","-","N/A","","",1
2,"135 Airways","","","GNL","GENERAL","United States",0
3,"1Time Airline","","1T","RNX","NEXTIME","South Africa",1
4,"2 Sqn No 1 Elementary Flying Training School","","","WYT","","United Kingdom",0
5,"213 Flight Unit","","","TFU","","Russia",0
6,"223 Flight Unit State Airline","","","CHD","CHKALOVSK-AVIA","Russia",0
7,"224th Flight Unit","","","TTF","CARGO UNIT","Russia",0
8,"247 Jet Ltd","","","TWF","CLOUD RUNNER","United Kingdom",0
9,"3D Aviation","","","SEC","SECUREX","United States",0
10,"40-Mile Air","","Q5","MLA","MILE-AIR","United States",1
11,"4D Air","","","QRT","QUARTET","Thailand",0
12,"611897 Alberta Limited","","","THD","DONUT","Canada",0
13,"Ansett Australia","","AN","AAA","ANSETT","Australia",1
14,"Abacus International","","1B","","","Singapore",1
15,"Abelag Aviation","","W9","AAB","ABG","Belgium",0
16,"Army Air Corps","","","AAC","ARMYAIR","United Kingdom",0
17,"Aero Aviation Centre Ltd.","","","AAD","SUNRISE","Canada",0
18,"Aero Servicios Ejecutivos Internacionales","","","SII","ASEISA","Mexico",0
19,"Aero Biniza","","","BZS","BINIZA","Mexico",0
20,"Aero Albatros","","","ABM","ALBATROS ESPANA","Spain",0
21,"Aigle Azur","","ZI","AAF","AIGLE AZUR","France",1
22,"Aloha Airlines","","AQ","AAH","ALOHA","United States",1
23,"Alaska Island Air","","","AAK","ALASKA ISLAND","United States",0
24,"American Airlines","","AA","AAL","AMERICAN","United States",1
25,"Aviation Management Corporation","","","AAM","AM CORP","United States",0
26,"Atlantis Airlines (USA)","","","AAO","ATLANTIS AIR","United States",0
27,"Aerovista Airlines","","","AAP","AEROVISTA GROUP","United Arab Emirates",0
28,"Asiana Airlines","","OZ","AAR","ASIANA","Republic of Korea",1
29,"Askari Aviation","","4K","AAS","AL-AAS","Pakistan",1
30,"Australia Asia Airlines","","","AAU","AUSTASIA","Australia",0
31,"Astro Air International","","","AAV","ASTRO-PHIL","United States",0
32,"Afriqiyah Airways","","8U","AAW","AFRIQIYAH","Libya",1
33,"Afrinat International Airlines","","Q9","AFU","","Gambia",0
34,"Afric'air Express","","","AAX","AFREX","Ivory Coast",0
35,"Allegiant Air","","G4","AAY","ALLEGIANT","United States",1
36,"Angus Aviation","","","AAZ","ANGUS","Canada",0
37,"Artem-Avia","","","ABA","ARTEM-AVIA","Ukraine",0
38,"African Business and Transportations","","","ABB","AFRICAN BUSINESS-","Democratic Republic of the Congo",0
39,"Aban Air","","K5","ABE","ABAN","Iran",0
40,"Aerial Oy","","","ABF","SKYWINGS","Finland",0
41,"Abakan-Avia","","","ABG","ABAKAN-AVIA","Russia",0
42,"ABSA - Aerolinhas Brasileiras","","M3","TUS","ABSA Cargo","Brazil",1
43,"Abaet","","","ABJ","Abaet","Brazil",0
44,"Alberta Citylink","","","ABK","ALBERTA CITYLINK","Canada",0
45,"APSA Colombia","","","ABO","AEROEXPRESO","Colombia",0
46,"Aerovias Bueno","","","ABU","AEROBUENO","Colombia",0
47,"Aerocenter","","","ACR"," Escuela de Formacion de Pioltos Privados de Avion","AEROCENTER",0
48,"Antrak Air","","04","ABV","ANTRAK","Ghana",0
49,"Airborne Express","","GB","ABX","ABEX","United States",0
50,"ABX Air","","GB","ABX","ABEX","United States",0
51,"ATA Brasil","","","ABZ","ATA-BRAZIL","Brazil",0
52,"Avcard Services","","","ACC","","United Kingdom",0
53,"Academy Airlines","","","ACD","ACADEMY","United States",0
54,"Aero Comondu","","","ACO","AERO COMONDU","Mexico",0
55,"Astral Aviation","","8V","ACP","ASTRAL CARGO","Kenya",1
56,"Air Cess","","","ACS","","Liberia",0
57,"Air Aurora","","","AAI","BOREALIS","United States",0
58,"Air Cargo Transportation System","","","ACU","AFRISPIRIT","Kenya",0
59,"Air Charter Service","","","ACV","","United Kingdom",0
60,"Aero Asia International","","E4","RSO","AERO ASIA","Pakistan",0
61,"Air Charters","","","ACX","PARAIR","Canada",0
62,"Air Togo","","YT","TGA","AIR TOGO","Togo",0
63,"Air Somalia","","","RSM","AIR SOMALIA","Somali Republic",0
64,"Atlas Cargo Lines","","","ACY","ATLAS CARGOLINES","Morocco",0
65,"Airservices Australia","","","ADA","AUSCAL","Australia",0
66,"Advance Leasing Company","","4G","","","United States",0
67,"Aztec Worldwide Airlines","","7A","","","United States",0
68,"Air Tindi","","8T","","","Canadian Territories",1
69,"Antonov Airlines","","","ADB","ANTONOV BUREAU","Ukraine",0
70,"Air Atlantic Dominicana","","","ADC","ATLAN-DOMINICAN","Dominican Republic",0
71,"Advanced Air Co.","","","ADD","","Japan",0
72,"Ada Air","","ZY","ADE","ADA AIR","Albania",1
73,"Aerea Flying Training Organization","","","ADG","AEREA TRAINING","Spain",0
74,"Audeli Air","","","ADI","AUDELI","Spain",0
75,"Abicar","","","ADJ","ABICAR","Ivory Coast",0
76,"ADC Airlines","","Z7","ADK","ADCO","Nigeria",0
77,"Aero Dynamics","","","ADL","COTSWOLD","United Kingdom",0
78,"Aerolineas Dominicanas","","","ADM","DOMINAIR","Dominican Republic",0
79,"Aerodienst GmbH","","","ADN","AERODIENST","Germany",0
80,"Aerodiplomatic","","","ADP","AERODIPLOMATIC","Mexico",0
